FragmentEdgeID,FragmentID,Origin,FlowUUID,DirectionID,Terminus,Quantity
"69","1","61","5ff1a035-84ea-4188-a64f-53dc0ca897bf","1","69","2.512887e-03"
"70","1","61","2a30cb5a-3ed0-4832-b610-bb822586b643","1","70","6.712327e-01"
"71","1","61","2d2e7120-4341-47bf-a987-c57137f7a640","1","71","2.904225e-06"
"72","1","61","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","72","2.760585e-07"
"73","1","1","45d82417-c241-4614-b7bf-020afd3cc091","1","73","1.388226e-02"
"74","1","73","826fd5c9-976c-4921-a07a-2f2fbe0fd734","1","74","6.289304e-12"
"75","1","73","6133d060-4e09-4985-85a0-b87333f2e8b4","1","75","1.496566e-07"
"76","1","73","00a22787-7c52-4b7c-be06-b71c3c60f97a","1","76","0"
"77","1","73","4d78344e-78af-4e18-a146-e88cc0b2934b","1","77","6.066542e-06"
"78","1","73","956ebc16-c7db-4992-b35b-4dbbe8d31596","1","78","1.097773e-06"
"79","1","73","1d28961d-31c4-42b0-bbdf-78e01b0389b2","1","79","1.669856e-04"
"80","1","73","b9283404-c497-4673-9aa7-be1f66823bb2","1","80","1.523155e-07"
"81","1","73","5ff1a035-84ea-4188-a64f-53dc0ca897bf","1","81","2.346652e-05"
"82","1","73","2a30cb5a-3ed0-4832-b610-bb822586b643","1","82","1.358611e-01"
"83","1","73","2d2e7120-4341-47bf-a987-c57137f7a640","1","83","2.820237e-08"
"84","1","73","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","84","2.680750e-09"
"85","1","85","890a70b7-b677-4e2a-8a1b-7d017e0a10ae","2","","1"
"86","2","110","cb17f5de-656d-4817-aa77-90c13bef5104","1","86","1"
"87","2","86","2d2e7120-4341-47bf-a987-c57137f7a640","1","87","1.965078e-02"
"88","2","86","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","88","1.867416e-03"
"89","2","110","f579de8c-8897-4bdb-9a0a-b36f8b13282e","1","89","49"
"90","2","110","67be2441-ddb9-462c-8986-edd1469ec410","1","90","1.360544e+00"
"91","2","90","826fd5c9-976c-4921-a07a-2f2fbe0fd734","1","91","1.681861e-08"
"92","2","90","6133d060-4e09-4985-85a0-b87333f2e8b4","1","92","3.916662e-04"
"93","2","90","00a22787-7c52-4b7c-be06-b71c3c60f97a","1","93","3.283834e-05"
"94","2","90","4d78344e-78af-4e18-a146-e88cc0b2934b","1","94","2.637457e-04"
"95","2","90","956ebc16-c7db-4992-b35b-4dbbe8d31596","1","95","2.872907e-03"
"96","2","90","1d28961d-31c4-42b0-bbdf-78e01b0389b2","1","96","2.294250e-02"
"97","2","90","8623ad4c-34db-496f-9555-0c93fb949e7b","1","97","2.921652e-04"
"98","2","97","2d2e7120-4341-47bf-a987-c57137f7a640","1","98","1.186893e-03"
"99","2","97","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","99","1.128070e-04"
"100","2","90","b9283404-c497-4673-9aa7-be1f66823bb2","1","100","1.217718e-03"
"101","2","90","90f304ca-05aa-4fa6-9823-a57b95ffa9e9","1","101","7.330002e-04"
"102","2","101","2d2e7120-4341-47bf-a987-c57137f7a640","1","102","-4.783886e-07"
"103","2","101","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","103","-4.544968e-08"
"104","2","90","d3179bcb-ebeb-44cb-bb55-62ca97691ec4","1","104","1.421752e-02"
"105","2","104","2d2e7120-4341-47bf-a987-c57137f7a640","1","105","7.909370e-04"
"106","2","104","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","106","7.518325e-05"
"107","2","90","d60d18f1-c2e6-4588-b901-3317dc58acd2","1","107","3.304160e-05"
"108","2","90","5ff1a035-84ea-4188-a64f-53dc0ca897bf","1","108","6.141327e-02"
"109","2","90","2a30cb5a-3ed0-4832-b610-bb822586b643","1","109","9.485431e+01"
"110","2","110","56737d34-86ba-4f50-8af1-9fe16dfbac66","2","","3"
"111","3","112","96b681bd-8dd1-40fd-980e-30b149c00b5b","1","111","1"
"112","3","112","7fc23808-1719-472b-80ac-843e2478996c","1","","1"
"113","3","112","13a4a21a-ecee-4af1-bd30-c6bf2703ab27","2","113","1"
"114","4","130","21901ca9-da4e-4556-a949-c4c55c825c0c","1","114","1"
"115","4","114","a93919e3-2e1a-49cf-92d1-d29dbb212735","1","115","2.600700e-03"
"116","4","114","80859da4-0b79-4fda-9ec0-3470bcc95eb7","1","116","4.570500e-03"
"117","4","114","f155362d-634b-4d9a-8b8d-3d0e977c8e02","1","117","1.142600e-02"
"118","4","114","98ae4544-d5e3-4060-a3aa-63642ddbd231","1","118","1.250000e-09"
"119","4","114","48ee411f-7101-4152-b737-75ed47185637","1","119","5.683700e-04"
"120","4","114","3bd47516-a122-44d5-9879-03d875893ac5","1","120","1"
"121","4","114","74a06560-01f7-404b-8a3a-a0305328f2fd","1","121","1.142600e-02"
"122","4","114","a8b476d5-6e28-4eef-9355-282e574f9e95","1","122","1.411200e-04"
"123","4","114","3ccf92eb-a71e-4539-93ab-fe07f439f490","1","123","2.380500e-11"
"124","4","114","8f497799-74f5-453b-978e-026d0491b914","1","124","1.350000e-03"
"125","4","114","a59591db-180d-4351-9219-a689459b1f36","1","125","3.269200e-05"
"126","4","114","d6a970f7-78f3-4e97-a888-04ac669cc72d","1","126","5.072900e-06"
"127","4","114","dd28560d-504c-47c9-9275-39357f9923ff","1","127","1.961500e-05"
"128","4","114","9be1d133-e659-4194-b919-ee26ef11447b","1","128","1.821500e-03"
"129","4","114","bfb7e1d7-d97f-4053-9dc8-0f4aa3aefcab","1","129","7.728200e-03"
"130","4","130","42d9e46e-8c40-41ae-8ba3-b069bc7c863f","1","","1"
"131","4","130","13a4a21a-ecee-4af1-bd30-c6bf2703ab27","2","131","1"
"132","5","138","f9750573-2888-466f-8734-6013585d0ac0","1","132","1.365000e+01"
"133","5","132","55a4c166-2eb6-43a3-9a13-2e4f2c4fee60","1","133","3.585698e-05"
"134","5","138","5be0532e-080e-401e-8f57-7b31032a07af","1","134","1.482000e+01"
"135","5","134","55a4c166-2eb6-43a3-9a13-2e4f2c4fee60","1","135","2.321261e-05"
"136","5","138","18801b22-73cc-4412-af2d-c10c62484dc7","1","136","1"
"137","5","138","ef359a3c-996f-4183-a973-1d99edb3e42f","2","137","1"
"138","5","139","18801b22-73cc-4412-af2d-c10c62484dc7","1","138","1"
"139","5","139","18801b22-73cc-4412-af2d-c10c62484dc7","2","","1"
"140","6","141","18801b22-73cc-4412-af2d-c10c62484dc7","2","140","1"
"141","6","141","18801b22-73cc-4412-af2d-c10c62484dc7","1","","1"
"142","6","141","ef359a3c-996f-4183-a973-1d99edb3e42f","2","142","1"
"143","6","140","d9ae9170-0267-447b-9b49-bcc6c6fdd4e0","1","143","3.609852e+02"
"144","6","140","05314fee-241f-44f8-8c0e-703c1fe01ae5","2","144","5.471630e-01"
"145","6","140","117721aa-e5f6-4b40-b930-5f6a1a9532a8","2","145","7.113000e-03"
"146","6","140","913ccc6c-8a0c-4c7b-89d0-96bb46ab4ce5","2","146","1.010980e-01"
"147","6","140","4a6fc955-d020-4ca5-a358-1b285ac8ac8d","2","147","9.161650e-01"
"148","6","140","8b6f1e9a-ce6b-4d8c-8ec2-24c4582c5696","2","148","1.010980e-01"
"149","6","140","815b3cf5-6f23-46c6-acdf-60a8b40c322d","2","149","8.368000e-02"
"150","6","140","b9b38ec2-2c87-4c79-8f78-498f5c493bbe","2","150","1.359400e-02"
"151","6","150","117721aa-e5f6-4b40-b930-5f6a1a9532a8","2","151","1"
"152","6","140","5dcced72-230a-431f-b0dd-b8e731d79d50","2","152","1.867430e-01"
"153","6","140","710d0da4-0631-4147-9777-d1be79a570f3","2","153","5.305000e-03"
"154","6","153","13a4a21a-ecee-4af1-bd30-c6bf2703ab27","2","154","1"
"155","6","140","60c9a76d-d252-4d98-9314-cedb6e07afc7","2","155","1.872000e-03"
"156","6","155","98ae4544-d5e3-4060-a3aa-63642ddbd231","1","156","1.250000e-09"
"157","6","155","3bd47516-a122-44d5-9879-03d875893ac5","1","157","1"
"158","6","155","74a06560-01f7-404b-8a3a-a0305328f2fd","1","158","1.142600e-02"
"159","6","155","3ccf92eb-a71e-4539-93ab-fe07f439f490","1","159","2.380500e-11"
"160","6","155","13a4a21a-ecee-4af1-bd30-c6bf2703ab27","2","160","1"
"161","6","140","7fd44ba9-0563-428c-9950-e4dada0e0a38","2","161","5.595100e-02"
"162","6","161","13a4a21a-ecee-4af1-bd30-c6bf2703ab27","2","162","1"
"163","6","161","53d51aa1-f1ae-4ad5-8a03-2caba9f41e43","2","163","1"
"164","6","163","2d2e7120-4341-47bf-a987-c57137f7a640","1","164","1.462467e-06"
"165","6","163","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","165","1.401368e-07"
"166","6","140","5e5bd532-b1eb-4d52-8879-10ee87c4d188","2","166","9.339000e-03"
"167","6","166","72d3f9ef-06e0-4f1d-bfdb-9f54dcd8d71a","2","167","1"
"168","6","140","d84e4ddd-23bd-4a14-bc9e-e965efa3aebe","2","168","7.182200e-02"
"169","6","140","cdbd559d-7d1e-43ca-b47d-2a913c587da6","2","169","1.754630e-01"
"170","6","169","754b4367-585e-4962-9945-7960555b4e95","2","170","1"
"171","6","169","3bf7de36-7636-45dc-b2c5-57cbe06e3189","2","171","1"
