FragmentNodeID,FragmentID,Name,FragmentStageID,ReferencePropertyUUID,NodeTypeID,Origin,FlowUUID,DirectionID,Quantity,Terminus
"33","1","US: Dummy_Transport, pipeline, coal slurry","","838aaa20-0117-11db-92e3-0800200c9a66","3","25","5ff1a035-84ea-4188-a64f-53dc0ca897bf","1","8.744219e-03",""
"34","1","US: Dummy_Transport, pipeline, unspecified","","838aaa20-0117-11db-92e3-0800200c9a66","3","25","2a30cb5a-3ed0-4832-b610-bb822586b643","1","5.062529e+01",""
"35","1","Secondary fuel","","93a60a56-a3c8-11da-a746-0800200c9a66","3","25","2d2e7120-4341-47bf-a987-c57137f7a640","1","1.050892e-05",""
"36","1","Secondary fuel renewable","","93a60a56-a3c8-11da-a746-0800200c9a66","3","25","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","9.989155e-07",""
"37","1","Electricity US LCI: Lignite","","93a60a56-a3c8-11da-a746-0800200c9a66","1","1","00525a4a-1e05-4596-9c49-13b415354103","2","0","37"
"38","1","US: Dummy_Disposal, anthracite coal combustion byproducts, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","37","826fd5c9-976c-4921-a07a-2f2fbe0fd734","1","1.290160e-08",""
"39","1","US: Dummy_Disposal, ash and flue gas desulfurization sludge, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","37","6133d060-4e09-4985-85a0-b87333f2e8b4","1","2.942680e-04",""
"40","1","US: Dummy_Disposal, lignite coal combustion byproducts, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","37","00a22787-7c52-4b7c-be06-b71c3c60f97a","1","2.254980e-02",""
"41","1","US: Dummy_Disposal, solid waste, unspecified, to sanitary landfill","","93a60a56-a3c8-11da-a746-0800200b9a66","3","37","4d78344e-78af-4e18-a146-e88cc0b2934b","1","4.276148e-04",""
"42","1","US: Dummy_Disposal, solid waste, unspecified, to underground deposit","","93a60a56-a3c8-11da-a746-0800200b9a66","3","37","956ebc16-c7db-4992-b35b-4dbbe8d31596","1","2.158427e-03",""
