FlowUUID,FlowPropertyUUID,MeanValue,StDev
"8c5440dd-5cc3-4366-91e8-6ed8b8ba2309","93a60a56-a3c8-11da-a746-0800200b9a66","1","0"
"ae342a2b-8b1f-40bc-8289-5477282003fb","93a60a56-a3c8-11da-a746-0800200b9a66","1","0"
"7cbd6b7e-bff5-4b12-8d6a-2d8c2f6f0a70","93a60a56-a3c8-11da-a746-0800200b9a66","1","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","d6b6a36c-58b3-48c7-b723-392a6df4754f","2.773360e-06","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","435e1d0e-e36e-4d4a-9cd1-7fd2c135da61","1.088500e-05","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","cefa9508-86b9-4fad-824e-bbf9d6fdd6f9","6.933330e-07","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","d164930a-a37a-4378-899e-09067b4ce307","1.004839e-02","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","5db5be2d-8df6-432b-ab3d-ffde49d3fe7f","1.354170e-06","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","83040211-0076-4862-b172-79ce62b71187","1.924210e-07","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","77f40806-2c54-4050-97d3-d1b61eb4b0c9","4.767500e-05","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","dccec68c-c1c9-42e4-9fa9-42dbb943082d","6.899850e-07","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","76d611d0-a0a5-43d5-b391-a4e7ec463052","2.464960e-03","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","984505b9-8536-4e31-a312-0d1a3788f009","2.161710e-04","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","f2149ae0-b105-4299-b1f1-cf1fd1577867","1.321790e-06","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","b1192e5a-4a70-4fd7-89a2-6b798c7ed3a7","8.206520e-06","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","0ab79a5f-7fd7-4d5d-be55-559292c958d3","9.965750e-06","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","476dbccb-c1e5-4cdb-aa14-f4ef627c45ec","0","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","eac7ae06-a196-4311-a9a0-892ad297f37f","1.200000e-03","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","7819ed0b-45f5-4c34-8d7d-d8248d7cbc9d","2.940000e-04","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","85e002ff-f1d7-46a1-89c1-6cdb7b7bcfab","9.438423e-01","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","a0f29f45-108a-4aef-8a66-aef07ed34913","1.552110e-05","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","037f9009-8b06-470d-a190-21448f7921c7","8.786720e-06","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","bd9b36ca-8240-464a-bba0-01c5210a5b66","1.633300e-05","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","5a2556bf-a9ec-4720-9253-d40f1de3c2b8","4.886640e-06","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","2651cd57-1c24-4b8e-856b-ddb63a3b267e","9.078770e-08","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","92f2d417-544a-4fd1-bde7-25967ef93586","1.003820e-04","0"
